======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0088;     A0070;    0.0273;    0.0568;         0;        ok;
     A0088;     A0080;    0.0281;    0.0701;         0;        ok;
     A0088;     A0082;    0.3998;    0.0779;         0;        ok;
     A0088;     A0083;    0.3816;    0.0729;         0;        ok;
     A0088;     A0086;    0.0376;    0.1130;         0;        ok;
     A0088;     A0087;    1.0194;    0.7783;         1;        ok;
     A0088;     A0088;    0.9071;    0.7807;         1;        ok;
     A0088;     A0089;    0.0333;    0.4228;         0;        ok;
     A0089;     A0053;    0.0173;    0.0268;         0;        ok;
     A0089;     A0054;    0.0183;    0.0280;         0;        ok;
     A0089;     A0055;    0.0179;    0.0273;         0;        ok;
     A0089;     A0056;    0.0180;    0.0280;         0;        ok;
     A0089;     A0057;    0.0182;    0.0283;         0;        ok;
     A0089;     A0058;    0.0186;    0.0287;         0;        ok;
     A0089;     A0059;    0.0187;    0.0288;         0;        ok;
     A0089;     A0060;    0.0184;    0.0284;         0;        ok;
     A0089;     A0062;    0.0189;    0.0288;         0;        ok;
     A0089;     A0063;    0.0220;    0.0517;         0;        ok;
     A0089;     A0064;    0.0220;    0.0518;         0;        ok;
     A0089;     A0065;    0.0218;    0.0516;         0;        ok;
     A0089;     A0070;    0.0226;    0.0549;         0;        ok;
     A0089;     A0080;    0.0238;    0.0695;         0;        ok;
     A0089;     A0082;    0.3924;    0.0717;         0;        ok;
     A0089;     A0083;    0.4087;    0.0719;         0;        ok;
     A0089;     A0086;    0.4074;    0.1094;         0;        ok;
     A0089;     A0087;    0.5800;    0.4176;         0;        ok;
     A0089;     A0088;    0.4643;    0.4262;         0;        ok;
     A0089;     A0089;    0.9131;    0.7313;         1;        ok;
